Airline,Date,Source,Destination,Product,Customer,Booking,Revenue
FlyDubai,1/1/2021,Chennai,Dubai,Economy,Rare Flyer,125,570875
FlyDubai,2/1/2021,Chennai,Dubai,Economy,Rare Flyer,101,461267
FlyDubai,3/1/2021,Chennai,Dubai,Economy,Rare Flyer,81,369927
FlyDubai,4/1/2021,Chennai,Dubai,Economy,Rare Flyer,101,461267
FlyDubai,5/1/2021,Chennai,Dubai,Economy,Rare Flyer,117,534339
FlyDubai,6/1/2021,Chennai,Dubai,Economy,Rare Flyer,124,566308
FlyDubai,7/1/2021,Chennai,Dubai,Economy,Rare Flyer,112,511504
FlyDubai,8/1/2021,Chennai,Dubai,Economy,Rare Flyer,108,493236
FlyDubai,9/1/2021,Chennai,Dubai,Economy,Rare Flyer,80,365360
FlyDubai,10/1/2021,Chennai,Dubai,Economy,Rare Flyer,80,365360
FlyDubai,11/1/2021,Chennai,Dubai,Economy,Rare Flyer,109,497803
FlyDubai,12/1/2021,Chennai,Dubai,Economy,Rare Flyer,125,570875
FlyDubai,13/1/2021,Chennai,Dubai,Economy,Rare Flyer,108,493236
FlyDubai,14/1/2021,Chennai,Dubai,Economy,Rare Flyer,89,406463
FlyDubai,15/1/2021,Chennai,Dubai,Economy,Rare Flyer,83,379061
FlyDubai,16/1/2021,Chennai,Dubai,Economy,Rare Flyer,102,465834
FlyDubai,17/1/2021,Chennai,Dubai,Economy,Rare Flyer,111,506937
FlyDubai,18/1/2021,Chennai,Dubai,Economy,Rare Flyer,93,424731
FlyDubai,19/1/2021,Chennai,Dubai,Economy,Rare Flyer,112,511504
FlyDubai,20/1/2021,Chennai,Dubai,Economy,Rare Flyer,84,383628
FlyDubai,21/1/2021,Chennai,Dubai,Economy,Rare Flyer,122,557174
FlyDubai,22/1/2021,Chennai,Dubai,Economy,Rare Flyer,91,415597
FlyDubai,23/1/2021,Chennai,Dubai,Economy,Rare Flyer,83,379061
FlyDubai,24/1/2021,Chennai,Dubai,Economy,Rare Flyer,81,369927
FlyDubai,25/1/2021,Chennai,Dubai,Economy,Rare Flyer,101,461267
FlyDubai,26/1/2021,Chennai,Dubai,Economy,Rare Flyer,89,406463
FlyDubai,27/1/2021,Chennai,Dubai,Economy,Rare Flyer,124,566308
FlyDubai,28/1/2021,Chennai,Dubai,Economy,Rare Flyer,115,525205
FlyDubai,29/1/2021,Chennai,Dubai,Economy,Rare Flyer,119,543473
FlyDubai,30/1/2021,Chennai,Dubai,Economy,Rare Flyer,110,502370
