Date_of_Journey,Airline,Source,Destination,Product,Customer,Booking
2021-01-01,FlyDubai,Chennai,Dubai,Business,First Flyer,24.310403225939528
2021-01-02,FlyDubai,Chennai,Dubai,Business,First Flyer,24.695084492487062
2021-01-03,FlyDubai,Chennai,Dubai,Business,First Flyer,26.21330233902369
2021-01-04,FlyDubai,Chennai,Dubai,Business,First Flyer,25.251682545616184
2021-01-05,FlyDubai,Chennai,Dubai,Business,First Flyer,26.11630130564187
2021-01-06,FlyDubai,Chennai,Dubai,Business,First Flyer,25.789039567231484
2021-01-07,FlyDubai,Chennai,Dubai,Business,First Flyer,23.1549539926154
2021-01-08,FlyDubai,Chennai,Dubai,Business,First Flyer,24.359937405544304
2021-01-09,FlyDubai,Chennai,Dubai,Business,First Flyer,24.744618672091793
2021-01-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.262836518630625
2021-01-11,FlyDubai,Chennai,Dubai,Business,First Flyer,25.301216725219703
2021-01-12,FlyDubai,Chennai,Dubai,Business,First Flyer,26.165835485249346
2021-01-13,FlyDubai,Chennai,Dubai,Business,First Flyer,25.83857374683051
2021-01-14,FlyDubai,Chennai,Dubai,Business,First Flyer,23.20448817276139
2021-01-15,FlyDubai,Chennai,Dubai,Business,First Flyer,24.40947158623728
2021-01-16,FlyDubai,Chennai,Dubai,Business,First Flyer,24.79415285332774
2021-01-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.312370700406678
2021-01-18,FlyDubai,Chennai,Dubai,Business,First Flyer,25.35075090754065
2021-01-19,FlyDubai,Chennai,Dubai,Business,First Flyer,26.215369668111954
2021-01-20,FlyDubai,Chennai,Dubai,Business,First Flyer,25.888107930242462
2021-01-21,FlyDubai,Chennai,Dubai,Business,First Flyer,23.25402235617195
2021-01-22,FlyDubai,Chennai,Dubai,Business,First Flyer,24.459005769645206
2021-01-23,FlyDubai,Chennai,Dubai,Business,First Flyer,24.843687036742207
2021-01-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.361904883820923
2021-01-25,FlyDubai,Chennai,Dubai,Business,First Flyer,25.400285090787648
2021-01-26,FlyDubai,Chennai,Dubai,Business,First Flyer,26.264903851195285
2021-01-27,FlyDubai,Chennai,Dubai,Business,First Flyer,25.93764211315771
2021-01-28,FlyDubai,Chennai,Dubai,Business,First Flyer,23.303556538916887
