Date_of_Journey,Airline,Source,Destination,Product,Customer,Revenue
2021-01-01,FlyDubai,Chennai,Dubai,Business,First Flyer,300111.9278242235
2021-01-02,FlyDubai,Chennai,Dubai,Business,First Flyer,304860.81805975275
2021-01-03,FlyDubai,Chennai,Dubai,Business,First Flyer,323603.21737524745
2021-01-04,FlyDubai,Chennai,Dubai,Business,First Flyer,311732.0210256318
2021-01-05,FlyDubai,Chennai,Dubai,Business,First Flyer,322405.7396181489
2021-01-06,FlyDubai,Chennai,Dubai,Business,First Flyer,318365.6934574727
2021-01-07,FlyDubai,Chennai,Dubai,Business,First Flyer,285847.90703883715
2021-01-08,FlyDubai,Chennai,Dubai,Business,First Flyer,300723.42727144447
2021-01-09,FlyDubai,Chennai,Dubai,Business,First Flyer,305472.31750697317
2021-01-10,FlyDubai,Chennai,Dubai,Business,First Flyer,324214.7168224951
2021-01-11,FlyDubai,Chennai,Dubai,Business,First Flyer,312343.52047283726
2021-01-12,FlyDubai,Chennai,Dubai,Business,First Flyer,323017.23906540324
2021-01-13,FlyDubai,Chennai,Dubai,Business,First Flyer,318977.19290462264
2021-01-14,FlyDubai,Chennai,Dubai,Business,First Flyer,286459.40649273933
2021-01-15,FlyDubai,Chennai,Dubai,Business,First Flyer,301334.9267320992
2021-01-16,FlyDubai,Chennai,Dubai,Business,First Flyer,306083.816974331
2021-01-17,FlyDubai,Chennai,Dubai,Business,First Flyer,324826.21629652043
2021-01-18,FlyDubai,Chennai,Dubai,Business,First Flyer,312955.01995358936
2021-01-19,FlyDubai,Chennai,Dubai,Business,First Flyer,323628.73855284206
2021-01-20,FlyDubai,Chennai,Dubai,Business,First Flyer,319588.6923988432
2021-01-21,FlyDubai,Chennai,Dubai,Business,First Flyer,287070.90598694276
2021-01-22,FlyDubai,Chennai,Dubai,Business,First Flyer,301946.4262262701
2021-01-23,FlyDubai,Chennai,Dubai,Business,First Flyer,306695.31646858255
2021-01-24,FlyDubai,Chennai,Dubai,Business,First Flyer,325437.7157907693
2021-01-25,FlyDubai,Chennai,Dubai,Business,First Flyer,313566.5194457735
2021-01-26,FlyDubai,Chennai,Dubai,Business,First Flyer,324240.2380430058
2021-01-27,FlyDubai,Chennai,Dubai,Business,First Flyer,320200.19188693195
2021-01-28,FlyDubai,Chennai,Dubai,Business,First Flyer,287682.4054729289
2021-01-29,FlyDubai,Chennai,Dubai,Business,First Flyer,302557.9257102247
2021-01-30,FlyDubai,Chennai,Dubai,Business,First Flyer,307306.815950482
2021-01-31,FlyDubai,Chennai,Dubai,Business,First Flyer,326049.2152706015
2021-02-01,FlyDubai,Chennai,Dubai,Business,First Flyer,314178.01892563177
2021-02-02,FlyDubai,Chennai,Dubai,Business,First Flyer,324851.73752282007
2021-02-03,FlyDubai,Chennai,Dubai,Business,First Flyer,320811.6913668247
2021-02-04,FlyDubai,Chennai,Dubai,Business,First Flyer,288293.90495278843
2021-02-05,FlyDubai,Chennai,Dubai,Business,First Flyer,303169.42519009643
2021-02-06,FlyDubai,Chennai,Dubai,Business,First Flyer,307918.31543944264
2021-02-07,FlyDubai,Chennai,Dubai,Business,First Flyer,326660.7147688102
2021-02-08,FlyDubai,Chennai,Dubai,Business,First Flyer,314789.5184330295
2021-02-09,FlyDubai,Chennai,Dubai,Business,First Flyer,325463.2370393732
2021-02-10,FlyDubai,Chennai,Dubai,Business,First Flyer,321423.1908925117
2021-02-11,FlyDubai,Chennai,Dubai,Business,First Flyer,288905.40448765433
2021-02-12,FlyDubai,Chennai,Dubai,Business,First Flyer,303780.9247342013
2021-02-13,FlyDubai,Chennai,Dubai,Business,First Flyer,308529.81498355966
2021-02-14,FlyDubai,Chennai,Dubai,Business,First Flyer,327272.2143129012
2021-02-15,FlyDubai,Chennai,Dubai,Business,First Flyer,315401.0179770939
2021-02-16,FlyDubai,Chennai,Dubai,Business,First Flyer,326074.73658346577
2021-02-17,FlyDubai,Chennai,Dubai,Business,First Flyer,322034.69043655833
2021-02-18,FlyDubai,Chennai,Dubai,Business,First Flyer,289516.9040314066
2021-02-19,FlyDubai,Chennai,Dubai,Business,First Flyer,304392.4242774539
2021-02-20,FlyDubai,Chennai,Dubai,Business,First Flyer,309141.3145263791
2021-02-21,FlyDubai,Chennai,Dubai,Business,First Flyer,327883.71385529864
2021-02-22,FlyDubai,Chennai,Dubai,Business,First Flyer,316012.517519101
2021-02-23,FlyDubai,Chennai,Dubai,Business,First Flyer,326686.23612500215
2021-02-24,FlyDubai,Chennai,Dubai,Business,First Flyer,322646.18997768237
2021-02-25,FlyDubai,Chennai,Dubai,Business,First Flyer,290128.4035724611
2021-02-26,FlyDubai,Chennai,Dubai,Business,First Flyer,305003.923818544
2021-02-27,FlyDubai,Chennai,Dubai,Business,First Flyer,309752.8140674685
2021-02-28,FlyDubai,Chennai,Dubai,Business,First Flyer,328495.21339632553
2021-03-01,FlyDubai,Chennai,Dubai,Business,First Flyer,316624.01705959835
2021-03-02,FlyDubai,Chennai,Dubai,Business,First Flyer,327297.7356650182
2021-03-03,FlyDubai,Chennai,Dubai,Business,First Flyer,323257.6895171278
2021-03-04,FlyDubai,Chennai,Dubai,Business,First Flyer,290739.90311145375
2021-03-05,FlyDubai,Chennai,Dubai,Business,First Flyer,305615.4233569433
2021-03-06,FlyDubai,Chennai,Dubai,Business,First Flyer,310364.3136053334
2021-03-07,FlyDubai,Chennai,Dubai,Business,First Flyer,329106.71293375385
2021-03-08,FlyDubai,Chennai,Dubai,Business,First Flyer,317235.5165970162
2021-03-09,FlyDubai,Chennai,Dubai,Business,First Flyer,327909.2352024116
2021-03-10,FlyDubai,Chennai,Dubai,Business,First Flyer,323869.1890545277
2021-03-11,FlyDubai,Chennai,Dubai,Business,First Flyer,291351.4026488002
2021-03-12,FlyDubai,Chennai,Dubai,Business,First Flyer,306226.92289434886
2021-03-13,FlyDubai,Chennai,Dubai,Business,First Flyer,310975.8131371223
2021-03-14,FlyDubai,Chennai,Dubai,Business,First Flyer,329718.21245989803
2021-03-15,FlyDubai,Chennai,Dubai,Business,First Flyer,317847.01611750806
2021-03-16,FlyDubai,Chennai,Dubai,Business,First Flyer,328520.734717237
